time,commit,dataset,experiment,variant,seq_model,order_mode,seed,seq_len,accuracy,precision,recall,f1,mcc,auc,best_dev_f1
2026-09-06T15:09:36,nogit,TwiBot-20,diagnose_order,bag,bag,keep,456,32,0.6745562130177515,0.6632522407170295,0.809375,0.729064039408867,0.34195831606315175,0.7327578268876611,0.7378846834099753
2026-09-06T15:09:54,nogit,TwiBot-20,diagnose_order,bag,bag,keep,789,32,0.6914623837700761,0.6923076923076923,0.7734375,0.7306273062730627,0.37531266806232666,0.7460692909760589,0.7396171903214157
2026-09-06T15:10:05,nogit,TwiBot-20,diagnose_order,bag,bag,keep,2024,32,0.6745562130177515,0.6645161290322581,0.8046875,0.7279151943462897,0.3416238647723038,0.7364986187845304,0.7343804537521815
2026-09-06T15:11:54,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,42,32,0.7218934911242604,0.7218259629101283,0.790625,0.7546607009694258,0.4376200482538586,0.7774660451197053,0.7557364914877869
2026-09-06T15:12:10,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,123,32,0.6889264581572274,0.6683168316831684,0.84375,0.7458563535911602,0.37504153039869087,0.773316643646409,0.7633898305084745
2026-09-06T15:12:31,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,456,32,0.7218934911242604,0.7205673758865249,0.79375,0.7553903345724907,0.43763195158307017,0.7809104511970535,0.7606652205350687
2026-09-06T15:13:00,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,789,32,0.6956889264581573,0.6832460732984293,0.815625,0.7435897435897436,0.38546286018571835,0.7707757826887661,0.7625043721580972
2026-09-06T15:13:24,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,2024,32,0.7109044801352493,0.6981382978723404,0.8203125,0.7543103448275862,0.4165375720636387,0.7772185773480663,0.7520282186948853
2026-09-06T15:13:46,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,7,32,0.6990701606086221,0.6945205479452055,0.7921875,0.7401459854014598,0.391093733707873,0.7692132826887661,0.7525957751521661
2026-09-06T15:14:11,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,13,32,0.7032967032967034,0.701534170153417,0.7859375,0.7413411938098747,0.39960950541082363,0.7770142725598527,0.7481962481962482
2026-09-06T15:14:37,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,99,32,0.7109044801352493,0.6965699208443272,0.825,0.7553648068669528,0.4169343632879107,0.7722375690607736,0.7583482944344704
2026-09-06T15:14:58,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,2025,32,0.702451394759087,0.6951219512195121,0.8015625,0.7445573294629898,0.3983039952946494,0.7754963743093923,0.756350626118068
2026-09-06T15:15:24,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,314,32,0.6787827557058326,0.6600985221674877,0.8375,0.7382920110192838,0.3535912606163385,0.7762546040515654,0.7588094423537461
2026-09-06T15:15:41,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,1618,32,0.7083685545224007,0.7134587554269175,0.7703125,0.7407963936889557,0.4101502199871132,0.7708419659300185,0.7480577136514983
2026-09-06T15:16:01,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,271,32,0.6923076923076923,0.6895604395604396,0.784375,0.7339181286549707,0.377107720027851,0.7750920810313076,0.760014179369018
2026-09-06T15:16:22,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,577,32,0.6982248520710059,0.701280227596017,0.7703125,0.7341772151898734,0.38925904103222386,0.7664422191528546,0.7564008778346745
2026-09-06T15:16:43,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,999,32,0.7083685545224007,0.6948480845442536,0.821875,0.753042233357194,0.41156386317719373,0.7894998848987108,0.7605235231694376
2026-09-06T15:17:03,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,8128,32,0.7151310228233305,0.7173601147776184,0.78125,0.7479431563201197,0.423837827481448,0.7819607504604051,0.7592047128129602
2026-09-06T15:17:36,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,42,32,0.705832628909552,0.6957104557640751,0.8109375,0.7489177489177489,0.40564891833370303,0.7762287062615101,0.7586206896551724
