time,commit,dataset,experiment,variant,feat_group,seq_model,order_mode,seed,seq_len,accuracy,precision,recall,f1,mcc,auc,best_dev_f1
2026-09-08T13:16:24,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,1618,16,0.7263892064943974,0.41131105398457585,0.06884681583476764,0.11795060818282342,0.07111089704764618,0.5759237957301466,0.11970502486708968
2026-09-08T13:23:55,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,271,16,0.7174708438143151,0.3237410071942446,0.058089500860585196,0.09850419554906968,0.029390169936147667,0.5640297431216167,0.12146561820311191
2026-09-08T13:31:49,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,577,16,0.7187285616281729,0.3736059479553903,0.08648881239242685,0.14046121593291405,0.06252989193329676,0.5588444559927658,0.13637098077233803
2026-09-08T13:39:44,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,999,16,0.7119826206265721,0.33043478260869563,0.08175559380378658,0.13107968264918937,0.03886388310359837,0.5572626181194056,0.15806601580660157
2026-09-08T13:47:38,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,8128,16,0.7141550423050538,0.3009049773755656,0.0572289156626506,0.09616775126536514,0.01837650102791572,0.5631377670668437,0.1366683014549616
2026-09-08T13:55:46,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,42,16,0.7191859135604848,0.34579439252336447,0.06368330464716007,0.10755813953488373,0.04112011800606985,0.5535743766988585,0.12462006079027355
2026-09-08T14:03:53,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,123,16,0.7171278298650812,0.35177865612648224,0.076592082616179,0.12579505300353358,0.048278641506313266,0.551815852188395,0.14499276643626427
2026-09-08T14:07:10,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,456,16,0.7323347816144523,0.432,0.02323580034423408,0.04409963250306248,0.04532821466842558,0.5858385492854543,0.05477396360907898
2026-09-08T14:09:51,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,789,16,0.7334781614452321,0.4,0.006024096385542169,0.011869436201780416,0.019269162774086177,0.5788671324529332,0.033792969508642454
2026-09-08T14:16:31,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,2024,16,0.717813857763549,0.34549356223175964,0.06927710843373494,0.11541218637992832,0.04284350753267496,0.5518744127196153,0.12709474033515847
2026-09-08T14:22:22,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,7,16,0.7282186142236451,0.40148698884758366,0.04647160068846816,0.08330119552641728,0.05475210038013564,0.5665339093616982,0.10561286938275921
2026-09-08T14:28:12,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,13,16,0.7246741367482278,0.3531468531468531,0.04345955249569707,0.07739463601532567,0.03639080197486962,0.5645215108777861,0.09392655367231638
2026-09-08T14:36:20,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,99,16,0.7197576034758747,0.3469879518072289,0.06196213425129088,0.10514786418400876,0.041062291908128185,0.5575833274817471,0.12305634509279384
2026-09-08T14:44:38,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,2025,16,0.7211296592728105,0.3594132029339853,0.06325301204819277,0.10757409440175629,0.04698013638193601,0.5592585003894208,0.10936967632027257
2026-09-08T14:52:58,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,314,16,0.7215870112051224,0.35658914728682173,0.05938037865748709,0.10180745112504612,0.044263320944870316,0.5534702541982675,0.1198919284025667
2026-09-08T14:58:53,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,1618,16,0.7289046421221129,0.4314868804664723,0.06368330464716007,0.11098612673415822,0.0758193479483176,0.5703021187387803,0.08947274986685604
2026-09-08T15:01:40,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,271,16,0.7322204436313744,0.40816326530612246,0.01721170395869191,0.03303055326176713,0.03432803059169182,0.5855885949814295,0.060765191297824456
2026-09-08T15:09:22,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,577,16,0.7252458266636177,0.3438735177865613,0.037435456110154905,0.06752037252619325,0.030536995590439108,0.558288130946172,0.10615784908933218
2026-09-08T15:13:50,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,999,16,0.7310770638005946,0.41954022988505746,0.03141135972461274,0.05844675740592475,0.04961341272773574,0.5778845014796918,0.07861692447679709
2026-09-08T15:22:02,0054345,TwiBot-22,order_dt,shuffle_base,base,transformer,shuffle,8128,16,0.7194145895266407,0.3574561403508772,0.07013769363166954,0.11726618705035971,0.04870739563001262,0.5542502349121539,0.12677705301889947
2026-09-08T15:22:28,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,42,16,0.734049851360622,0.47619047619047616,0.008605851979345954,0.016906170752324597,0.03309859885546324,0.5856350949913459,0.023696682464454978
2026-09-08T15:22:50,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,123,16,0.7337068374113881,0.45098039215686275,0.009896729776247849,0.01936842105263158,0.03212075036178734,0.5880566131590472,0.018658197697499008
2026-09-08T15:23:27,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,456,16,0.733821175394466,0.46551724137931033,0.01161790017211704,0.02267002518891688,0.03695699384827274,0.5875924170946365,0.017871326449563147
2026-09-08T15:23:51,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,789,16,0.734507203292934,0.515625,0.014199655765920827,0.027638190954773868,0.048574545186786854,0.579475284239686,0.018286622937785726
2026-09-08T15:24:15,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,2024,16,0.7354219071575577,0.5925925925925926,0.013769363166953529,0.02691337258200168,0.05832702594647264,0.5771345715647214,0.0198294665873488
2026-09-08T15:24:42,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,7,16,0.7341641893437,0.49206349206349204,0.01333907056798623,0.025974025974025972,0.04364724345740841,0.5842239134944369,0.021821067248561796
2026-09-08T15:25:16,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,13,16,0.7349645552252458,0.5263157894736842,0.025817555938037865,0.04922067268252666,0.06779816045934066,0.5848966560730622,0.03054032889584965
2026-09-08T15:25:45,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,99,16,0.733821175394466,0.4666666666666667,0.012048192771084338,0.02348993288590604,0.03780938356978576,0.588573205488234,0.018699025263576686
2026-09-08T15:26:32,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,2025,16,0.7346215412760119,0.5211267605633803,0.015920826161790018,0.030897703549060546,0.05230950107606975,0.585057061006405,0.026771653543307083
2026-09-08T15:26:57,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,314,16,0.7335924994283101,0.45,0.01161790017211704,0.022651006711409395,0.034673422065524456,0.5836153596903073,0.017491552375273306
2026-09-08T15:27:25,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,1618,16,0.7341641893437,0.49019607843137253,0.010757314974182444,0.021052631578947364,0.038920084356612525,0.586385761938174,0.01906653426017875
2026-09-08T15:28:03,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,271,16,0.734507203292934,0.5119047619047619,0.018502581755593803,0.035714285714285705,0.054883953009112314,0.585133578313789,0.023306340114556588
2026-09-08T15:28:27,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,577,16,0.733821175394466,0.4583333333333333,0.00946643717728055,0.01854974704890388,0.03239292788548774,0.5834831964776845,0.01868787276341948
2026-09-08T15:28:49,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,999,16,0.7334781614452321,0.425531914893617,0.008605851979345954,0.01687051876845213,0.02659351091652098,0.5815939158154172,0.03123170017567831
2026-09-08T15:29:09,0054345,TwiBot-22,order_dt,bag_base,base,bag,keep,8128,16,0.734507203292934,0.55,0.004733218588640275,0.00938566552901024,0.030811136003279917,0.5871795117472157,0.016660055533518445
2026-09-08T15:36:37,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,42,16,0.7107249028127144,0.36155913978494625,0.1157487091222031,0.17535853976531943,0.06615759183550507,0.5789948064715149,0.17330067360685855
2026-09-08T15:42:24,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,123,16,0.7047793276926595,0.34532374100719426,0.12392426850258176,0.18239392020265993,0.058508853770630746,0.5772862661215669,0.17055214723926382
2026-09-08T15:50:18,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,456,16,0.7069517493711411,0.34419817470664926,0.11359724612736662,0.1708185053380783,0.055083363793467864,0.5719183290978569,0.16952789699570814
2026-09-08T15:58:12,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,789,16,0.7040932997941917,0.337037037037037,0.11746987951807229,0.1742182514358647,0.05158010997796949,0.5752123254775564,0.1778242677824268
2026-09-08T16:05:58,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,2024,16,0.7071804253372971,0.3442838370565046,0.11273666092943202,0.16985413290113455,0.05490674190746284,0.5794037586480638,0.15769944341372916
2026-09-08T16:12:35,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,7,16,0.6997484564372285,0.3393617021276596,0.13726333907056798,0.1954656862745098,0.0578523555864764,0.5796597097112925,0.18746321365509122
2026-09-08T16:17:10,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,13,16,0.7173565058312371,0.3782894736842105,0.09896729776247848,0.15688949522510232,0.06965690297784514,0.5786673633181121,0.14564201707749316
2026-09-08T16:20:49,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,99,16,0.7206723073404985,0.39652173913043476,0.0981067125645439,0.15729561917902724,0.0785527161349243,0.599216548536094,0.13039796782387808
2026-09-08T16:28:21,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,2025,16,0.7171278298650812,0.3715753424657534,0.09337349397590361,0.14924346629986243,0.06410193336790271,0.5757004415758867,0.15989967079479542
2026-09-08T16:35:53,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,314,16,0.7101532128973245,0.36351875808538164,0.12091222030981068,0.18146593477558928,0.06893851523794949,0.5862116214111239,0.16267648864333947
2026-09-08T16:40:58,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,1618,16,0.7135833523896639,0.3552,0.09552495697074011,0.150559511698881,0.05619663893861556,0.5750500779645699,0.14299674267100979
2026-09-08T16:47:53,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,271,16,0.7116396066773382,0.35816618911174786,0.10757314974182444,0.16545334215751156,0.061634245320687814,0.5851056716075497,0.14682099254796258
2026-09-08T16:55:21,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,577,16,0.7115252686942602,0.3392568659127625,0.09036144578313253,0.14271151885830785,0.0459444306836127,0.5688138504098701,0.1580021988377572
2026-09-08T17:00:49,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,999,16,0.7140407043219757,0.37622377622377623,0.1157487091222031,0.17703191839420862,0.07464415396054869,0.587511645103348,0.1639088354667499
2026-09-08T17:08:08,0054345,TwiBot-22,order_dt,keep_dt,with_dt,transformer,keep,8128,16,0.707294763320375,0.36621315192743764,0.13898450946643717,0.2014971927635683,0.07619016326379296,0.5956247577845305,0.18208999850500823
2026-09-08T17:10:41,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,42,16,0.7302766979190487,0.42738589211618255,0.04432013769363167,0.08031189083820663,0.06160870354122903,0.615250140572076,0.12464013547840812
2026-09-08T17:18:18,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,123,16,0.712554310541962,0.3650568181818182,0.11058519793459552,0.16974900924702774,0.06653717569327909,0.5819076903780089,0.16291698991466252
2026-09-08T17:25:26,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,456,16,0.7140407043219757,0.37622377622377623,0.1157487091222031,0.17703191839420862,0.07464415396054869,0.5831311967628489,0.1554371670322783
2026-09-08T17:30:15,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,789,16,0.7223873770866682,0.3673469387755102,0.06196213425129088,0.10603829160530193,0.049837311847409596,0.5825579534849814,0.12392947103274558
2026-09-08T17:32:26,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,2024,16,0.7318774296821404,0.44559585492227977,0.03700516351118761,0.06833531982518871,0.06117091749184563,0.6155139979770485,0.0730934178631363
2026-09-08T17:38:02,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,7,16,0.7156414360850675,0.3625632377740304,0.09251290877796901,0.1474117243743572,0.05912723667613399,0.5784456172333594,0.14868336544637123
2026-09-08T17:44:17,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,13,16,0.7168991538989252,0.3837920489296636,0.10800344234079173,0.16856950973807924,0.07599042623718358,0.5883217436190462,0.16645924082140634
2026-09-08T17:52:13,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,99,16,0.7048936656757375,0.33202614379084966,0.10929432013769363,0.16445451602460343,0.04647318611628216,0.5800966020955289,0.16883315491665393
2026-09-08T17:59:33,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,2025,16,0.7147267322204436,0.37065052950075644,0.10542168674698796,0.16415410385259632,0.06792235687314413,0.5802019976511464,0.15309188676261268
2026-09-08T18:06:07,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,314,16,0.7198719414589526,0.39838709677419354,0.10628227194492254,0.16779891304347824,0.08296064132780809,0.5848698549146087,0.15847165674913874
2026-09-08T18:13:24,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,1618,16,0.7160987880173794,0.3881856540084388,0.11876075731497418,0.18187808896210872,0.08247212862745583,0.5897124222297385,0.1585709808837355
2026-09-08T18:21:21,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,271,16,0.7101532128973245,0.3468795355587808,0.10283993115318417,0.15864586790574178,0.053729260377563606,0.5756338406971303,0.15146733985484379
2026-09-08T18:28:41,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,577,16,0.71266864852504,0.3651925820256776,0.11015490533562823,0.16925619834710745,0.06647360111966177,0.588685870858082,0.1594497420665937
2026-09-08T18:36:36,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,999,16,0.707637777269609,0.36047904191616764,0.12951807228915663,0.19056663501107945,0.06969437334970184,0.5827473036694538,0.17080314475104055
2026-09-08T18:42:32,0054345,TwiBot-22,order_dt,shuffle_dt,with_dt,transformer,shuffle,8128,16,0.7086668191173108,0.3431372549019608,0.10542168674698796,0.16129032258064518,0.052254418948208675,0.5940746792839373,0.13637103336045567
2026-09-08T18:42:57,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,42,16,0.7357649211067917,0.6065573770491803,0.015920826161790018,0.031027253668763105,0.06466683484146374,0.6232133342731606,0.03213166144200627
2026-09-08T18:43:14,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,123,16,0.734507203292934,0.515625,0.014199655765920827,0.027638190954773868,0.048574545186786854,0.621203180386269,0.023283346487766376
2026-09-08T18:43:59,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,456,16,0.7349645552252458,0.5365853658536586,0.0189328743545611,0.03657522859517872,0.059656130661173874,0.6241868863539758,0.03867723844517501
2026-09-08T18:44:31,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,789,16,0.7362222730391036,0.6024096385542169,0.021514629948364887,0.04154549231408392,0.07460861900501849,0.6222664493450065,0.038110052498541706
2026-09-08T18:44:57,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,2024,16,0.7346215412760119,0.5180722891566265,0.018502581755593803,0.03572912339011217,0.05591983274300889,0.6172386190220686,0.03616566206494264
2026-09-08T18:45:51,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,7,16,0.7363366110221816,0.5681818181818182,0.032271944922547334,0.061074918566775244,0.08476356935252684,0.6265039805080534,0.044666923373122835
2026-09-08T18:46:09,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,13,16,0.7347358792590899,0.5476190476190477,0.009896729776247849,0.019442096365173286,0.044331538590169944,0.6179982308555305,0.020210025757875963
2026-09-08T18:47:01,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,99,16,0.7346215412760119,0.5223880597014925,0.015060240963855422,0.02927645336679214,0.05105380948419742,0.6253346124632891,0.03730328346609676
2026-09-08T18:47:49,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,2025,16,0.7354219071575577,0.5471698113207547,0.02495697074010327,0.04773662551440329,0.07057502023659756,0.6243404569919131,0.03990701278574196
2026-09-08T18:48:17,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,314,16,0.7346215412760119,0.5245901639344263,0.013769363166953529,0.026834381551362686,0.04911518618927218,0.622220920877084,0.030582238776710447
2026-09-08T18:48:55,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,1618,16,0.7343928653098559,0.5053763440860215,0.020223752151462996,0.03889118742242449,0.05624716582780601,0.6248579538601978,0.04028665504551617
2026-09-08T18:49:19,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,271,16,0.7353075691744798,0.576271186440678,0.014629948364888123,0.028535459504825847,0.057939999736564,0.6256879187345994,0.030865403399101387
2026-09-08T18:50:02,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,577,16,0.7331351474959982,0.43243243243243246,0.013769363166953529,0.026688907422852376,0.03486395381304492,0.6243449796874021,0.03983755559853026
2026-09-08T18:50:24,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,999,16,0.7350788932083238,0.559322033898305,0.014199655765920827,0.027696181284095674,0.054777755978788624,0.6209049839970283,0.03010752688172043
2026-09-08T18:51:17,0054345,TwiBot-22,order_dt,bag_dt,with_dt,bag,keep,8128,16,0.7350788932083238,0.5368421052631579,0.021944922547332185,0.04216618437370814,0.06432021335266995,0.6268174535576125,0.03989928336238621
